code,name,city,state,statename,lat,lng,search
DBQ,Dubuque Regional Airport,Dubuque,IA,Iowa,42.4047,-90.7037,dbq|dubuqueregionalairport|dubuqueia|iowa
DCA,Washington National Airport,Arlington,VA,Virginia,38.849,-77.0438,dca|was|washingtonnationalairport|arlingtonva|virginia
DDC,Dodge City Regional Airport,Dodge City,KS,Kansas,37.7573,-99.9697,ddc|dodgecityregionalairport|dodgecityks|kansas
DEC,Decatur Airport,Decatur,IL,Illinois,39.8335,-88.8773,dec|decaturairport|decaturil|illinois
DEN,Denver International Airport,Denver,CO,Colorado,39.8396,-104.672,den|denverinternationalairport|denverco|colorado
DFW,Fort Worth International Airport,Dallas,TX,Texas,32.9222,-97.0409,dfw|fortworthinternationalairport|dallastx|texas
DHN,Dothan Airport,Dothan,AL,Alabama,31.3144,-85.4487,dhn|dothanairport|dothanal|alabama
DIK,Dickinson Municipal Airport,Dickinson,ND,North Dakota,46.8035,-102.802,dik|dickinsonmunicipalairport|dickinsonnd|northdakota
DLG,Dillingham Municipal Airport,Dillingham,AK,Alaska,59.0445,-158.513,dlg|dillinghammunicipalairport|dillinghamak|alaska
DLH,Duluth International Airport,Duluth,MN,Minnesota,46.838,-92.1781,dlh|duluthinternationalairport|duluthmn|minnesota
DRG,Deering Airport,Deering,AK,Alaska,66.0833,-162.767,drg|deeringairport|deeringak|alaska
DRO,Durango la Plata County Airport,Durango,CO,Colorado,37.1595,-107.751,dro|durangolaplatacountyairport|durangoco|colorado
DRT,Del Rio International Airport,Del Rio,TX,Texas,29.3702,-100.918,drt|delriointernationalairport|delriotx|texas
DSM,Des Moines International Airport,Des Moines,IA,Iowa,41.5328,-93.6481,dsm|desmoinesinternationalairport|desmoinesia|iowa
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,Michigan,42.2327,-83.3412,dtw|dtt|detroitmetropolitanwaynecountyairport|detroitmi|michigan
DUJ,Du Bois Jefferson County Airport,Reynoldsville,PA,Pennsylvania,41.1833,-78.8953,duj|duboisjeffersoncountyairport|reynoldsvillepa|pennsylvania
DUT,Unalaska Airport,Unalaska,AK,Alaska,53.896,-166.535,dut|unalaskaairport|unalaskaak|alaska
DVL,Devils Lake Municipal Airport,Devils Lake,ND,North Dakota,48.108,-98.9037,dvl|devilslakemunicipalairport|devilslakend|northdakota
EAA,Eagle Airport,Tok,AK,Alaska,64.7667,-141.15,eaa|eagleairport|tokak|alaska
EAR,Kearney Municipal Airport,Kearney,NE,Nebraska,40.7236,-99.0151,ear|kearneymunicipalairport|kearneyne|nebraska
EAT,Pangborn Memorial Airport,East Wenatchee,WA,Washington,47.4048,-120.21,eat|pangbornmemorialairport|eastwenatcheewa|washington
EAU,Eau Claire County Airport,Eau Claire,WI,Wisconsin,44.8625,-91.4826,eau|eauclairecountyairport|eauclairewi|wisconsin
EDA,Edna Bay Seaplane Base,Ketchikan,AK,Alaska,55.9503,-133.656,eda|ednabayseaplanebase|ketchikanak|alaska
EEK,Eek Airport,Eek,AK,Alaska,60.2167,-162.017,eek|eekairport|eekak|alaska
EGE,Eagle County Regional Airport,Gypsum,CO,Colorado,39.6395,-106.912,ege|eaglecountyregionalairport|gypsumco|colorado
EGV,Eagle River Union Airport,Eagle River,WI,Wisconsin,45.932,-89.2599,egv|eagleriverunionairport|eagleriverwi|wisconsin
EGX,Egegik Airport,Egegik,AK,Alaska,58.2101,-157.366,egx|egegikairport|egegikak|alaska
EKO,Elko Municipal Airport-J C Harris Field,Elko,NV,Nevada,40.829,-115.78,eko|elkomunicipalairportjcharrisfield|elkonv|nevada
ELI,Elim Airport,Elim,AK,Alaska,64.6167,-162.267,eli|elimairport|elimak|alaska
ELM,Elmira Corning Regional Airport,Horseheads,NY,New York,42.1633,-76.8973,elm|elmiracorningregionalairport|horseheadsny|newyork
ELP,El Paso International Airport,El Paso,TX,Texas,31.7982,-106.393,elp|elpasointernationalairport|elpasotx|texas
ELV,Elfin Cove Airport,Elfin Cove,AK,Alaska,58.1833,-136.317,elv|elfincoveairport|elfincoveak|alaska
